img_path,npm1
955.png,0
1055.png,0
434.png,1
452.png,1
409.png,1
1082.png,0
1217.png,0
513.png,0
437.png,1
374.png,1
1066.png,0
678.png,0
846.png,0
888.png,0
284.png,1
1053.png,0
1022.png,0
1256.png,0
109.png,1
383.png,1
225.png,1
152.png,1
151.png,1
1056.png,0
318.png,1
742.png,0
417.png,1
419.png,1
905.png,0
1036.png,0
761.png,0
345.png,1
1003.png,0
177.png,1
220.png,1
933.png,0
455.png,1
149.png,1
580.png,0
127.png,1
310.png,1
930.png,0
89.png,1
234.png,1
715.png,0
564.png,0
990.png,0
308.png,1
353.png,1
210.png,1
822.png,0
466.png,0
951.png,0
138.png,1
431.png,1
301.png,1
657.png,0
982.png,0
204.png,1
359.png,1
328.png,1
961.png,0
802.png,0
482.png,0
556.png,0
422.png,1
281.png,1
299.png,1
168.png,1
207.png,1
395.png,1
209.png,1
410.png,1
155.png,1
243.png,1
1275.png,0
649.png,0
449.png,1
270.png,1
654.png,0
248.png,1
803.png,0
206.png,1
1283.png,0
194.png,1
392.png,1
728.png,0
300.png,1
295.png,1
949.png,0
692.png,0
766.png,0
682.png,0
378.png,1
542.png,0
111.png,1
132.png,1
863.png,0
919.png,0
648.png,0
763.png,0
222.png,1
1068.png,0
142.png,1
1057.png,0
260.png,1
144.png,1
506.png,0
445.png,1
147.png,1
584.png,0
343.png,1
1121.png,0
267.png,1
253.png,1
198.png,1
559.png,0
1119.png,0
180.png,1
604.png,0
244.png,1
683.png,0
196.png,1
1177.png,0
950.png,0
81.png,1
936.png,0
167.png,1
1005.png,0
693.png,0
438.png,1
352.png,1
739.png,0
107.png,1
783.png,0
1259.png,0
77.png,1
356.png,1
736.png,0
1178.png,0
1058.png,0
720.png,0
844.png,0
721.png,0
390.png,1
117.png,1
163.png,1
211.png,1
159.png,1
259.png,1
710.png,0
397.png,1
429.png,1
862.png,0
251.png,1
421.png,1
1266.png,0
859.png,0
550.png,0
500.png,0
536.png,0
851.png,0
659.png,0
563.png,0
99.png,1
1123.png,0
266.png,1
336.png,1
439.png,1
868.png,0
190.png,1
681.png,0
247.png,1
249.png,1
453.png,1
1165.png,0
202.png,1
448.png,1
285.png,1
1106.png,0
391.png,1
134.png,1
831.png,0
192.png,1
1149.png,0
502.png,0
226.png,1
479.png,0
1024.png,0
362.png,1
735.png,0
377.png,1
806.png,0
393.png,1
88.png,1
897.png,0
805.png,0
100.png,1
558.png,0
201.png,1
123.png,1
691.png,0
528.png,0
278.png,1
965.png,0
516.png,0
157.png,1
351.png,1
399.png,1
621.png,0
304.png,1
357.png,1
311.png,1
412.png,1
810.png,0
1199.png,0
760.png,0
126.png,1
737.png,0
342.png,1
404.png,1
658.png,0
324.png,1
884.png,0
420.png,1
1294.png,0
969.png,0
937.png,0
169.png,1
440.png,1
337.png,1
79.png,1
690.png,0
325.png,1
228.png,1
582.png,0
1158.png,0
994.png,0
1538.png,0
494.png,0
778.png,0
217.png,1
838.png,0
896.png,0
1187.png,0
1000.png,0
722.png,0
934.png,0
694.png,0
174.png,1
920.png,0
943.png,0
262.png,1
613.png,0
333.png,1
291.png,1
508.png,0
254.png,1
880.png,0
245.png,1
775.png,0
282.png,1
288.png,1
269.png,1
146.png,1
1241.png,0
195.png,1
1242.png,0
1245.png,0
199.png,1
178.png,1
899.png,0
84.png,1
382.png,1
294.png,1
470.png,0
566.png,0
401.png,1
286.png,1
701.png,0
588.png,0
472.png,0
1253.png,0
509.png,0
998.png,0
601.png,0
373.png,1
518.png,0
1043.png,0
293.png,1
1049.png,0
108.png,1
841.png,0
276.png,1
223.png,1
309.png,1
698.png,0
279.png,1
785.png,0
371.png,1
411.png,1
316.png,1
1233.png,0
1207.png,0
386.png,1
283.png,1
105.png,1
124.png,1
1280.png,0
813.png,0
1174.png,0
425.png,1
1105.png,0
364.png,1
730.png,0
794.png,0
1115.png,0
182.png,1
874.png,0
389.png,1
834.png,0
273.png,1
263.png,1
274.png,1
624.png,0
213.png,1
1096.png,0
268.png,1
212.png,1
85.png,1
573.png,0
1071.png,0
705.png,0
477.png,0
408.png,1
976.png,0
214.png,1
983.png,0
607.png,0
1034.png,0
689.png,0
1279.png,0
158.png,1
769.png,0
1154.png,0
219.png,1
363.png,1
835.png,0
972.png,0
517.png,0
954.png,0
83.png,1
296.png,1
113.png,1
289.png,1
818.png,0
767.png,0
481.png,0
1223.png,0
118.png,1
975.png,0
187.png,1
237.png,1
306.png,1
181.png,1
1167.png,0
418.png,1
1298.png,0
275.png,1
103.png,1
287.png,1
1195.png,0
1031.png,0
987.png,0
427.png,1
242.png,1
154.png,1
535.png,0
1232.png,0
405.png,1
1113.png,0
1104.png,0
724.png,0
443.png,1
272.png,1
348.png,1
183.png,1
1064.png,0
1261.png,0
807.png,0
200.png,1
227.png,1
115.png,1
1215.png,0
634.png,0
101.png,1
498.png,0
1012.png,0
1204.png,0
329.png,1
400.png,1
313.png,1
515.png,0
